CODE,DESCRIPTION, CP (BP), CP (GHC) , PRICE ,STOCK AT HAND, STOCK VALUE ,JAN,FEB,MAR,APR,MAY,JUN,JULY,AUG,SEPT,OCT,NOV,DEC,,,,image_url
,BASKET LARGE MELCOM,, GHC  38.00 , GHC  60.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,BASKET MEDIUM MELCOM,, GHC  32.00 , GHC  55.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,BATH TOWEL (EGYPTIAN),, GHC  55.00 , GHC  90.00 ,  -   , GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,BACK POCKET READERS SET,, GHC  15.00 , GHC  50.00 ,2, GHC  100.00 ,,,,,,,,,,,,, GHC  -   ,2,,
,BATH TOWEL DNK,, GHC  95.00 , GHC  140.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
70144,BATH TOWEL SUPREME (TURQUOISE),2.40,37.20,85.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,BALLOONS AND STICKS,, GHC  1.50 , GHC  5.00 ,24, GHC  120.00 ,,,,,,,,,,,,, GHC  -   ,24,,
USA,BATMAN ACTION FIGURE,10.00,155.00,115.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,
46498,BATMAN SCHOOL BAG,8.90,137.95,95.00,0,0,,,,,,,,,,,,,0,0,,
,BATMAN WITH MYSTERY ACCESSORIES,10.00,155.00,65.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,BALLOONS PACK MULTI,, GHC  60.00 , GHC  85.00 ,1, GHC  85.00 ,,,,,,,,,,,,, GHC  -   ,1,,
,BEDTIME STORY BOOKS,4.00,62.00,75.00,0,0,,,,,,,,,,,,,0,0,,
,BELLO COOLER BAG (2020),4.00,62.00,75.00,0,0,,,,,,,,,,,,,0,0,,
,BANNER - GENDER REVEAL, £ 1.04 , GHC  16.12 , GHC  30.00 ,5, GHC  150.00 ,,,,,,,,,,,,, GHC  -   ,5,,
,BANNER - HAPPY BIRTHDAY, £ 1.04 , GHC  16.12 , GHC  30.00 ,5, GHC  150.00 ,,,,,,,,,,,,, GHC  -   ,5,,
,BENDABLE DOLL IN DRESS, £ 2.20 , GHC  34.10 , GHC  60.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,BANNER BIRTHDAY GIRL (9FT), £ 0.73 , GHC  14.60 , GHC  35.00 ,2, GHC  70.00 ,,,,,,,,,,,,, GHC  -   ,2,,
,BIC ERASER 2 CONTOURED GRIP, £ 1.04 , GHC  16.12 , GHC  30.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,BANNER BRIGHT CONFETTI HAPPY BIRTHYDAY NAVY, £ 0.73 , GHC  14.60 , GHC  35.00 ,2, GHC  70.00 ,,,,,,,,,,,,, GHC  -   ,2,,
,BIRTHDAY BADGES, £ 1.00 , GHC  15.50 , GHC  20.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,BANNER BRIGHT CONFETTI HAPPY BIRTHYDAY ROSE GARDEN, £ 0.73 , GHC  14.60 , GHC  35.00 ,2, GHC  70.00 ,,,,,,,,,,,,, GHC  -   ,2,,
,BANNER HAPPY BIRTHDAY MUM, £ 0.73 , GHC  14.60 , GHC  35.00 ,1, GHC  35.00 ,,,,,,,,,,,,, GHC  -   ,1,,
,BARBIE BEACH[CANADA], £ 5.00 , GHC  77.50 , GHC  150.00 ,7," GHC  1,050.00 ",,,,,,,,,,,,, GHC  -   ,7,,
,BARBIE CANADA  , £ 6.70 , GHC  134.00 , GHC  220.00 ,3, GHC  660.00 ,,,,,,,,,,,,, GHC  -   ,3,,
,BARBIE DOCTOR [CANADA, £ 10.00 , GHC  155.00 , GHC  250.00 ,1, GHC  250.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
,BARREL PENCIL CASE ASSORTED COLORS, £ 1.45 , GHC  29.00 , GHC  55.00 ,4, GHC  220.00 ,,,,,,,,,,,,, GHC  -   ,4, GHC  -   ,
,BARRELPENCIL CASE ASSORTED, £ 1.45 , GHC  31.00 , GHC  45.00 ,5, GHC  225.00 ,,,,,,,,,,,,, GHC  -   ,5,,
,BASKET DESIGN MELCOM,, GHC  32.00 , GHC  50.00 ,7, GHC  350.00 ,,,,,,,,,,,,, GHC  -   ,7,,
106745,BATH TOWEL (HAMPTON-LIME), £ 3.50 , GHC  54.25 , GHC  85.00 ,  6 , GHC  510.00 ,,,,,,,,,,,,, GHC  -   ,6,,
,BATHROOM ACCESSORY SET 5PCS, £ -   , GHC  80.00 , GHC  130.00 ,1, GHC  130.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
,BEADS SET - METALLIC, £ 1.04 , GHC  16.12 , GHC  35.00 ,4, GHC  140.00 ,,,,,,,,,,,,, GHC  -   ,4,,
,BIRTHDAY CANDLE (12), £ 0.60 , GHC  9.30 , GHC  15.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
60222,BIRTHDAY CARD (GIRL) (AGE13),0.50,7.75,20.00,0,0,,,,,,,,,,,,,0,0,,
60219,BIRTHDAY CARD (GIRL) (AGE3),0.50,7.75,20.00,0,0,,,,,,,,,,,,,0,0,,
90955,BELLO LARGE FOX LUNCH BOX (DD), £ 0.95 , GHC  14.73 , GHC  35.00 ,1, GHC  35.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
115979,BELLO REUSABLE TABLE CLOTH, £ 0.70 , GHC  10.85 , GHC  30.00 ,4, GHC  120.00 ,,,,,,,,,,,,, GHC  -   ,4,,
,BLOCH TECH BIG BLOCKS (80PCS), £ 6.25 , GHC  150.00 , GHC  300.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
90936,BETA BASKET (SMALL),, GHC  2.00 , GHC  4.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
55825,BLOWOUT JAZZY DES (8), £ 0.65 , GHC  10.08 , GHC  20.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,BIC PENS,, GHC  1.60 , GHC  3.00 ,101, GHC  303.00 ,,,,,,,,,,,,, GHC  -   ,101,,
,BLUE BATHROOM SET 3PCS,,0.00,60.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,BLUE BATHROOM SET 4PCS,,0.00,75.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,
30341,BLUE SILVER RAINBOW MED GIFT BAG PK6,0.40,6.20,11.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,
,BIRTHDAY BANNER (FOIL), £ 1.00 , GHC  15.50 , GHC  35.00 ,8, GHC  280.00 ,,,,,,,,,,,,, GHC  -   ,8,,
,BODY MIST (YARDLEY), £ 2.00 , GHC  31.00 , GHC  55.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,BIRTHDAY CANDLE - 0, £ 0.37 , GHC  5.74 , GHC  10.00 ,16, GHC  160.00 ,,,,,,,,,,,,, GHC  -   ,16,,
,BOWL LIGHT, £ -   , GHC  4.00 , GHC  8.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,BIRTHDAY CANDLE - 1, £ 0.37 , GHC  5.74 , GHC  10.00 ,25, GHC  250.00 ,,,,,,,,,,,,, GHC  -   ,25, GHC  -   ,
,BOWLS BIG [TADI],,0.00,5.00,0,0,,,,,,,,,,,,,0,0,,
,BIRTHDAY CANDLE - 3, £ 0.37 , GHC  5.74 , GHC  10.00 ,13, GHC  130.00 ,,,,,,,,,,,,, GHC  -   ,13,,
,BIRTHDAY CANDLE - 4, £ 0.37 , GHC  5.74 , GHC  10.00 ,8, GHC  80.00 ,,,,,,,,,,,,, GHC  -   ,8, GHC  -   ,
105056,BUBBLE GUN FRICTION,0.70,10.85,12.00,0,0,,,,,,,,,,,,,0,0,,
,BUBBLE MAGIC PK, £ 0.20 , GHC  3.10 , GHC  8.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,BUBBLES BOX MAKOLA,,0.00,6.00,0,0,,,,,,,,,,,,,0,0,,
,BUBBLES MAKOLA, £ -   , GHC  7.00 , GHC  15.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,BUBBLES MEDIUM,,0.00,3.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,
,BUILDING BLOCKS MELCOM,, GHC  99.00 , GHC  150.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,BUILDING BLOCKS TABLE DNK,,0.00,280.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,BIRTHDAY CANDLE - 5, £ 0.37 , GHC  5.74 , GHC  10.00 ,13, GHC  130.00 ,,,,,,,,,,,,, GHC  -   ,13, GHC  -   ,
,BIRTHDAY CANDLE - 6, £ 0.37 , GHC  5.74 , GHC  10.00 ,16, GHC  160.00 ,,,,,,,,,,,,, GHC  -   ,16,,
113252,CANDLE GLITTER (NUMBER 0-PINK) 9.5CM,0.40,6.20,10.00,0,0,,,,,,,,,,,,,0,0,,
113236,CANDLE GLITTER (NUMBER 0-SILVER) 9.5CM,0.40,6.20,10.00,0,0,,,,,,,,,,,,,0,0,,
113226,CANDLE GLITTER (NUMBER 1-BLUE) 9.5CM,0.40,6.20,10.00,0,0,,,,,,,,,,,,,0,0,,
113254,CANDLE GLITTER (NUMBER 2-BLUE) 9.5CM,0.40,6.20,10.00,0,0,,,,,,,,,,,,,0,0,,
113256,CANDLE GLITTER (NUMBER 2-SILVER) 9.5CM,0.40,6.20,10.00,0,0,,,,,,,,,,,,,0,0,,
113228,CANDLE GLITTER (NUMBER 3-BLUE) 9.5CM,0.40,6.20,10.00,0,0,,,,,,,,,,,,,0,0,,
113258,CANDLE GLITTER (NUMBER 3-PINK) 9.5CM,0.40,6.20,10.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
113241,CANDLE GLITTER (NUMBER 5-BLUE) 9.5CM,0.40,6.20,10.00,0,0,,,,,,,,,,,,,0,0,,
113261,CANDLE GLITTER (NUMBER 5-PINK) 9.5CM,0.40,6.20,10.00,0,0,,,,,,,,,,,,,0,0,,
113244,CANDLE GLITTER (NUMBER 6-BLUE) 9.5CM,0.40,6.20,10.00,0,0,,,,,,,,,,,,,0,0,,
113262,CANDLE GLITTER (NUMBER 6-PINK) 9.5CM,0.40,6.20,10.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
113245,CANDLE GLITTER (NUMBER 6-SILVER) 9.5CM,0.40,6.20,10.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
113232,CANDLE GLITTER (NUMBER 7-BLUE) 9.5CM,0.40,6.20,10.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
113264,CANDLE GLITTER (NUMBER 7-PINK) 9.5CM,0.40,6.20,10.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,BIRTHDAY CANDLE - 7, £ 0.37 , GHC  5.74 , GHC  10.00 ,10, GHC  100.00 ,,,,,,,,,,,,, GHC  -   ,10,,
,BIRTHDAY CANDLE - 8, £ 0.37 , GHC  5.74 , GHC  10.00 ,7, GHC  70.00 ,,,,,,,,,,,,, GHC  -   ,7, GHC  -   ,
45189,CANDY STRIPE PAPER BAG (YELLOW),0.85,13.18,18.00,0,0,,,,,,,,,,,,,0,0,,
,CAR SET MAKOLA,,0.00,5.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,BIRTHDAY CANDLE - HAPPY BIRTHDAY, £ 0.70 , GHC  10.85 , GHC  20.00 ,2, GHC  40.00 ,,,,,,,,,,,,, GHC  -   ,2, GHC  -   ,
