CODE,DESCRIPTION, CP (BP), CP (GHC) , PRICE ,STOCK AT HAND, STOCK VALUE ,JAN,FEB,MAR,APR,MAY,JUN,JULY,AUG,SEPT,OCT,NOV,DEC,,,,image_url
,EUROWRAP MODERN MALE SHIRT BOX (LARGE), £ 3.00 , GHC  60.00 , GHC  90.00 ,1, GHC  90.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
,GIFT WRAP KENTE/ANKARA PRINT,, GHC  5.00 , GHC  10.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,EUROWRAP MODERN MALE SHIRT BOX (MEDUIM), £ 3.00 , GHC  60.00 , GHC  80.00 ,1, GHC  80.00 ,,,,,,,,,,,,, GHC  -   ,1,,
,GIFT WRAPPER SHINNY NEW,, GHC  4.00 , GHC  7.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,GIFT WRAPS PAPER,, GHC  5.00 , GHC  10.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,GIRL'S SCH BAG PINK TKM,3.00,46.50,120.00,0,0,,,,,,,,,,,,,0,0,,
,EUROWRAP MODERN MALE SHIRT BOX (SMALL), £ 3.00 , GHC  60.00 , GHC  75.00 ,1, GHC  75.00 ,,,,,,,,,,,,, GHC  -   ,1,,
,GLASSES MAKOLA,, GHC  5.00 , GHC  10.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,EUROWRAP NAVY OMBRE BOTTLE BAG PK 6, £ 3.15 , GHC  63.00 , GHC  20.00 ,6, GHC  120.00 ,,,,,,,,,,,,, GHC  -   ,6,,
,GLUE GHANA,, GHC  10.00 , GHC  15.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,EUROWRAP NAVY OMBRE EXTRA LARGE BAG PK 6, £ 4.95 , GHC  99.00 , GHC  35.00 ,6, GHC  210.00 ,,,,,,,,,,,,, GHC  -   ,6,,
,EUROWRAP NAVY OMBRE LARGE BAG PK 6, £ 4.00 , GHC  80.00 , GHC  28.00 ,6, GHC  168.00 ,,,,,,,,,,,,, GHC  -   ,6,,
,GOLF CADDY LARGE,4.25,65.88,65.00,0,0,,,,,,,,,,,,,0,0,,
,EUROWRAP NAVY OMBRE PERFUME BAG PK 6, £ 2.40 , GHC  48.00 , GHC  18.00 ,6, GHC  108.00 ,,,,,,,,,,,,, GHC  -   ,6,,
,GRAFIX 3D SPACESHIP PUZZLE, £ 0.70 , GHC  11.00 , GHC  45.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
114008,GRAFIX BEAUTY SALON PUZZLE,0.70,10.85,25.00,0,0,,,,,,,,,,,,,0,0,,
3183,GRAFIX PUZZLE 3D FAIRY, £ 0.70 , GHC  11.00 , GHC  45.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,EUROWRAP PATTERN WAVES SHIRT BOX (LARGE), £ 2.50 , GHC  50.00 , GHC  90.00 ,1, GHC  90.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
,EUROWRAP PATTERN WAVES SHIRT BOX (MEDIUM), £ 2.50 , GHC  50.00 , GHC  80.00 ,1, GHC  80.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
40399,GRAFIX SHOPPING CENTRE 3D PUZZLE,0.70,10.85,25.00,0,0,,,,,,,,,,,,,0,0,,
,EUROWRAP PATTERN WAVES SHIRT BOX (SMALL), £ 2.50 , GHC  50.00 , GHC  75.00 ,1, GHC  75.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
,EUROWRAP PINK OMBRE BOTTLE BAG PK6, £ 3.15 , GHC  63.00 , GHC  20.00 ,6, GHC  120.00 ,,,,,,,,,,,,, GHC  -   ,6, GHC  -   ,
,EUROWRAP SHREDDED PAPER CREAM, £ 0.55 , GHC  11.00 , GHC  20.00 ,2, GHC  40.00 ,,,,,,,,,,,,, GHC  -   ,2, GHC  -   ,
,EUROWRAP SHREDDED PAPER DARK BLUE, £ 0.55 , GHC  11.00 , GHC  20.00 ,2, GHC  40.00 ,,,,,,,,,,,,, GHC  -   ,2,,
,EUROWRAP SHREDDED PAPER LIGHT BLUE, £ 0.55 , GHC  11.00 , GHC  20.00 ,2, GHC  40.00 ,,,,,,,,,,,,, GHC  -   ,2,,
,EUROWRAP SHREDDED PAPER PINK 25G, £ 0.55 , GHC  11.00 , GHC  20.00 ,2, GHC  40.00 ,,,,,,,,,,,,, GHC  -   ,2,,
,EUROWRAP SHREDDED PAPER RED 25G, £ 0.55 , GHC  11.00 , GHC  20.00 ,1, GHC  20.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
,EUROWRAP SHREDDED TISSUE GREEN, £ 0.55 , GHC  11.00 , GHC  20.00 ,1, GHC  20.00 ,,,,,,,,,,,,, GHC  -   ,1,,
,EUROWRAP SHREDDED TISSUE PAPER YELLOW 25G, £ 0.55 , GHC  11.00 , GHC  20.00 ,2, GHC  40.00 ,,,,,,,,,,,,, GHC  -   ,2,,
,EUROWRAP SILVER OMBRE EXTRA LARGE PK6, £ 5.00 , GHC  100.00 , GHC  35.00 ,1, GHC  35.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
,EUROWRAP SILVER OMBRE LARGE PK6, £ 4.00 , GHC  80.00 , GHC  28.00 ,1, GHC  28.00 ,,,,,,,,,,,,, GHC  -   ,1,,
,EXERCISE BOOKS GH,, GHC  3.00 , GHC  5.00 ,8, GHC  40.00 ,,,,,,,,,,,,, GHC  -   ,8,,
,FACE TOWELS,, GHC  15.00 , GHC  20.00 ,16, GHC  320.00 ,,,,,,,,,,,,, GHC  -   ,16, GHC  -   ,
,FAMILY SUITS TOY NASCO,, GHC  150.00 , GHC  230.00 ,1, GHC  230.00 ,,,,,,,,,,,,, GHC  -   ,1,,/imgs/shopItems/img_23.png
,FASHION DOLL IN BOX, £ 0.69 , GHC  10.70 , GHC  20.00 ,3, GHC  60.00 ,,,,,,,,,,,,, GHC  -   ,3,,
,FASHION DOLL IN BOX, £ 1.00 , GHC  20.00 , GHC  35.00 ,8, GHC  280.00 ,,,,,,,,,,,,,0,8,,
,FILE  TRANSPARENT,, GHC  3.00 , GHC  7.00 ,5, GHC  35.00 ,,,,,,,,,,,,, GHC  -   ,5,,
,FILE GH,, GHC  10.00 , GHC  15.00 ,4, GHC  60.00 ,,,,,,,,,,,,, GHC  -   ,4,,
,FIRST STEPS BABY MANICURE SET, £ 0.60 , GHC  12.00 , GHC  25.00 ,2, GHC  50.00 ,,,,,,,,,,,,,0,2,,
,FIRST STEPS BRUSH & COMB SET, £ 0.63 , GHC  12.60 , GHC  30.00 ,2, GHC  60.00 ,,,,,,,,,,,,,0,2,,
,FIRST STEPS FEEDING BOWL LID & SPOON, £ 0.60 , GHC  9.30 , GHC  25.00 ,15, GHC  375.00 ,,,,,,,,,,,,, GHC  -   ,15,,
,FIRST STEPS GLOW IN THE DARK SOOTHER PK2, £ 1.10 , GHC  22.00 , GHC  40.00 ,9, GHC  360.00 ,,,,,,,,,,,,,0,9,,
,GREETING CARDS 60TH,, GHC  25.00 , GHC  40.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,GREETING CARDS 60TH,, GHC  9.00 , GHC  18.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,GREETING CARDS 60TH,, GHC  15.00 , GHC  25.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,FIRST STEPS POP UP STRAW SPORTS BOTTLE ASSORTED, £ 1.00 , GHC  20.00 , GHC  35.00 ,19, GHC  665.00 ,,,,,,,,,,,,,0,19, GHC  -   ,
,FIRST STEPS RATTLE STAR ASSORTED, £ 0.80 , GHC  16.00 , GHC  35.00 ,6, GHC  210.00 ,,,,,,,,,,,,,0,6,,
106250,FIRST STEPS WATERFILLED TEETHER, £ 0.65 , GHC  10.08 , GHC  20.00 ,3, GHC  60.00 ,,,,,,,,,,,,, GHC  -   ,3,,
,FIRST STEPS WATERFILLED TEETHER, £ 0.55 , GHC  11.00 , GHC  35.00 ,4, GHC  140.00 ,,,,,,,,,,,,,0,4, GHC  -   ,
,GREETING CARDS ASSORTED,, GHC  -   ,,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,GREETING CARDS ASSORTED BIRTHDAY,, GHC  22.00 , GHC  38.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,GREETING CARDS BABY BOY,, GHC  9.00 , GHC  18.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,GREETING CARDS BABY GIRL,, GHC  20.00 , GHC  38.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,GREETING CARDS BIRTHDAY,, GHC  20.00 , GHC  30.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,FIRST STEPS WATERFILLED TEETHER 2 ASSORTED, £ 0.60 , GHC  12.00 , GHC  35.00 ,3, GHC  105.00 ,,,,,,,,,,,,,0,3,,
,FIRST STEPS WATERFILLED TEETHER RING, £ 0.80 , GHC  16.00 , GHC  35.00 ,4, GHC  140.00 ,,,,,,,,,,,,,0,4, GHC  -   ,
106252,FIRST STEPS WATERFILLED TEETHER RING 8/6, £ 0.65 , GHC  10.08 , GHC  20.00 ,1, GHC  20.00 ,,,,,,,,,,,,, GHC  -   ,1,,
,GREETING CARDS CONGRATULATIONS,, GHC  16.00 , GHC  38.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,GREETING CARDS CONGRATULATIONS,, GHC  20.00 , GHC  30.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
USA,FISHER PRICE CORN PEPPER, £ 12.00 , GHC  186.00 , GHC  400.00 ,1, GHC  400.00 ,,,,,,,,,,,,, GHC  -   ,1,,
,FOIL BALLON PINK 21, £ 0.55 , GHC  11.00 , GHC  30.00 ,1, GHC  30.00 ,,,,,,,,,,,,, GHC  -   ,1,,
,FOIL BALLON PINK 30, £ 0.55 , GHC  11.00 , GHC  30.00 ,1, GHC  30.00 ,,,,,,,,,,,,, GHC  -   ,1,,
,FOIL BALLOONS ,, GHC  12.00 , GHC  25.00 ,53," GHC  1,325.00 ",,,,,,,,,,,,, GHC  -   ,53,,
,FOLLOW ME JOLLY KID ARM CHAIR, £ 4.00 , GHC  62.00 , GHC  75.00 ,2, GHC  150.00 ,,,,,,,,,,,,, GHC  -   ,2, GHC  -   ,
,GREETING CARDS DAUGHTER,, GHC  15.00 , GHC  28.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,FRICTION MOTORBIKE, £ 1.10 , GHC  23.00 , GHC  45.00 ,4, GHC  180.00 ,,,,,,,,,,,,, GHC  -   ,4,,
,FRUIT BOWLS MELCOM,, GHC  30.50 , GHC  45.00 ,3, GHC  135.00 ,,,,,,,,,,,,, GHC  -   ,3, GHC  -   ,
,FUFU BOWLS SML,, GHC  5.00 , GHC  8.00 ,4, GHC  32.00 ,,,,,,,,,,,,, GHC  -   ,4,,
,FUN DOUGH 3, £ 1.00 , GHC  20.00 , GHC  40.00 ,4, GHC  160.00 ,,,,,,,,,,,,, GHC  -   ,4,,
,FUN DOUGH PARTY STACK DOUGH, £ 1.88 , GHC  37.60 , GHC  75.00 ,1, GHC  75.00 ,,,,,,,,,,,,, GHC  -   ,1,,
,GREETING CARDS MUM,, GHC  25.00 , GHC  32.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,GREETING CARDS MUM,, GHC  20.00 , GHC  30.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,FUN DOUGH SCENTED 6, £ 1.95 , GHC  39.00 , GHC  80.00 ,1, GHC  80.00 ,,,,,,,,,,,,, GHC  -   ,1,,
,FUN SLATE MELCOM,, GHC  69.00 , GHC  120.00 ,1, GHC  120.00 ,,,,,,,,,,,,, GHC  -   ,1,,
,FUN TIME FIRE ENGINE TRUCK, £ 3.70 , GHC  57.35 , GHC  160.00 ,1, GHC  160.00 ,,,,,,,,,,,,, GHC  -   ,1,,
,FUN TIME P0P UP FRIENDS, £ 4.10 , GHC  63.55 , GHC  160.00 ,1, GHC  160.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
,FUN TOYS LIP WHISTLE, £ 1.00 , GHC  15.50 , GHC  30.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
81914,GEOMETRY SET, £ 0.60 , GHC  9.30 , GHC  30.00 ,3, GHC  90.00 ,,,,,,,,,,,,, GHC  -   ,3,,
,GIANT CHESS BOARD GAME, £ 5.00 , GHC  77.50 , GHC  200.00 ,1, GHC  200.00 ,,,,,,,,,,,,, GHC  -   ,1,,
91659,GIANT COLORING BOOK (6 PACK), £ 0.60 , GHC  9.30 , GHC  35.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,GREETING CARDS WEDDING,, GHC  9.00 , GHC  20.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,GREETING CARDS WEDDING,, GHC  25.00 , GHC  38.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,GIFT  BAGS EXTRA LRG CANADA,, GHC  20.00 , GHC  35.00 ,16, GHC  560.00 ,,,,,,,,,,,,, GHC  -   ,16, GHC  -   ,
,GREETING CARDS WIFE,, GHC  20.00 , GHC  30.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,GIFT BAG BLUE MARBLE BOTTLE PK6, £ 2.96 , GHC  59.20 , GHC  20.00 ,12, GHC  240.00 ,,,,,,,,,,,,, GHC  -   ,12, GHC  -   ,
,GIFT BAG BLUE MARBLE LARGE PK6, £ 3.75 , GHC  75.00 , GHC  28.00 ,6, GHC  168.00 ,,,,,,,,,,,,, GHC  -   ,6, GHC  -   ,
,GIFT BAG CHARCOAL OMBRE BOTTLE BAG PK6, £ 3.15 , GHC  63.00 , GHC  20.00 ,6, GHC  120.00 ,,,,,,,,,,,,, GHC  -   ,6,,
,GIFT BAG CHARCOAL OMBRE PERFUME PK6, £ 2.40 , GHC  48.00 , GHC  18.00 ,6, GHC  108.00 ,,,,,,,,,,,,, GHC  -   ,6, GHC  -   ,
,GUM, £ -   , GHC  20.00 , GHC  45.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,HAND CLAPPER (PARTY FAVOR),1.00,15.50,20.00,0,0,,,,,,,,,,,,,0,0,,
,HAND TOWEL (HAMPTON) (4-PACK),1.30,20.15,30.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,HAND TOWELS,, GHC  50.00 , GHC  65.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,GIFT BAG CHINA MALL 8,  , GHC  20.00 , GHC  35.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,GIFT BAG CODAM EX LARGE,, GHC  7.00 , GHC  25.00 ,2, GHC  50.00 ,,,,,,,,,,,,, GHC  -   ,2,,
,GIFT BAG MARIA MED,, GHC  10.00 , GHC  18.00 ,5, GHC  90.00 ,,,,,,,,,,,,, GHC  -   ,5,,
,GIFT BAG MULTI DOTS MEDIUM PK6, £ 2.75 , GHC  55.00 , GHC  20.00 ,6, GHC  120.00 ,,,,,,,,,,,,, GHC  -   ,6,,
,GIFT BAG RED OMBRE BOTTLE BAG PK 6, £ 3.15 , GHC  63.00 , GHC  20.00 ,6, GHC  120.00 ,,,,,,,,,,,,, GHC  -   ,6,,
,GIFT BAG RED OMBRE EXTRA LARGE PK 6, £ 4.95 , GHC  99.00 , GHC  35.00 ,6, GHC  210.00 ,,,,,,,,,,,,, GHC  -   ,6,,
,HELICOPTER LIGHT AND SOUND,11.00,170.50,65.00,0,0,,,,,,,,,,,,,0,0,,
,GIFT BAG RED OMBRE PERFUME PK 6, £ 2.40 , GHC  48.00 , GHC  18.00 ,6, GHC  108.00 ,,,,,,,,,,,,, GHC  -   ,6,,
,HERO FIGURES,0.13,2.02,5.00,0,0,,,,,,,,,,,,,0,0,,
USA,HI POLYMER ERASER CUP 10,1.00,15.50,12.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,
USA,HI POLYMER ERASER CUPS 25, £ 2.00 , GHC  31.00 , GHC  50.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,HICKORY DICKORY,2.00,31.00,38.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,
,HIDDEN CODE RED PERFUME DNK,, GHC  35.00 , GHC  75.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
100579,HIKORY DICKORY DOCK,2.00,31.00,38.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,HOBBY DAMLA SMALL BASKET, £ 1.65 , GHC  25.58 , GHC  45.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,HOBBY LIFE 3 TREND WITH LID 1.75LTR,,0.00,55.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,
,HOBBY LIFE 3 TREND WITH LID 2.5LTR,,0.00,70.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,HOBBY LIFE 3X1.75LTR,,0.00,55.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
103173,HOBBY LIFE KIDS FOOD BOX,,0.00,25.00,0,0,,,,,,,,,,,,,0,0,,
,HOBBY LIFE SET REC (1.2 LTR),,0.00,24.00,0,0,,,,,,,,,,,,,0,0,,
,HOBBY LIFE SET REC (1.75 LTR),,0.00,45.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
122147,HOBBY RECT 1.5LTR MULTY BOX MINI,0.70,10.85,13.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,
,HOBBY SQUARE MULTIBOX (3.7LTR),,0.00,55.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,HOLLOW STRAWS ANNOINTED ,, GHC  14.00 , GHC  25.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,GIFT BAG SML,, GHC  4.00 , GHC  10.00 ,5, GHC  50.00 ,,,,,,,,,,,,, GHC  -   ,5,,
,HOTWHEELS MONSTER TRUCK ,8.00,124.00,65.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
105943,HULA HOOP LARGE (30IN), £ 1.00 , GHC  20.00 , GHC  45.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,GIFT BAG WHITE OMBRE BOTTLE BAG PK 6, £ 3.15 , GHC  63.00 , GHC  20.00 ,6, GHC  120.00 ,,,,,,,,,,,,, GHC  -   ,6,,
54658,IND PAPER TOWELS 2PLY,,0.00,25.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,GIFT BAG WHITE OMBRE LARGE PK 6, £ 4.00 , GHC  80.00 , GHC  28.00 ,18, GHC  504.00 ,,,,,,,,,,,,, GHC  -   ,18, GHC  -   ,
16177,JAUNTY PARTY NAPKINS 40PK,0.60,9.30,15.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,GIFT BAG WHITE OMBRE PERFUME PK 6, £ 2.40 , GHC  48.00 , GHC  18.00 ,6, GHC  108.00 ,,,,,,,,,,,,, GHC  -   ,6, GHC  -   ,
,JOHN SHEEN SHARPENER,0.50,7.75,10.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,GIFT BAGS ANNOINTED ,, GHC  6.00 , GHC  20.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
34180,JOHNSONS 500G TALC POWDER ,1.33,20.62,25.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
68931,JOHNSONS COTTON BUDS 200S PK6,0.70,10.85,15.00,0,0,,,,,,,,,,,,,0,0,,
28682,JOHNSONS SOAP 100GM 4S HONEY PK9, £ 0.80 , GHC  12.40 , GHC  50.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,JOSH & TWINKLE LEARN AS YOU PLAY (ALPHABETS & NUMBERS), £ 1.00 , GHC  15.50 , GHC  35.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,GIFT BAGS MAKOLA,, GHC  6.50 , GHC  20.00 ,5, GHC  100.00 ,,,,,,,,,,,,, GHC  -   ,5, GHC  -   ,
,GIFT BOX - SILVER 1XL, £ -   , GHC  45.00 , GHC  65.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,JUST STATIONERY BENDY RULER 12INCH , £ 0.35 , GHC  5.43 , GHC  12.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
63307,JUST STATIONERY ERASERS 5,0.60,9.30,18.00,0,0,,,,,,,,,,,,,0,0,,
,GIFT BOX - SILVER 2XL, £ -   , GHC  55.00 , GHC  75.00 ,1, GHC  75.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
,GIFT BOX - SILVER L, £ -   , GHC  35.00 , GHC  55.00 ,1, GHC  55.00 ,,,,,,,,,,,,, GHC  -   ,1,,
,GIFT BOX CHINA MALL 10,, GHC  12.00 , GHC  25.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,GIFT BOX CHINA MALL 2,, GHC  45.00 , GHC  65.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,GIFT BOX CHINA MALL 3,, GHC  35.00 , GHC  60.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
59685,KIDDYS WATCH ENTERTAINER,3.50,54.25,55.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,GIFT BOX CHINA MALL 4,, GHC  40.00 , GHC  55.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,KIDS CREATE ARTIST PAINT SET, £ 0.70 , GHC  10.85 , GHC  35.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
69988,KIDS CREATE NOVELTY SHARPENERS 2PC,0.63,9.77,12.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,GIFT BOX CHINA MALL 9,, GHC  20.00 , GHC  30.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,KLIPSEAL EASY POUR JUICE JUG DNK,,0.00,20.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,LAGHMANIS GOLD WHITE PERFUME DNK,, GHC  35.00 , GHC  75.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,LAGHMANIS OUD FOR HER  PERFUME DNK,, GHC  35.00 , GHC  75.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
103251,LARGE TROLLY BAG (BEAUTY & THE BEAST),7.65,118.58,140.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,LAUNDRY BASKET DNK,, GHC  280.00 , GHC  360.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,GIFT BOX CHINA MALL BRONZE 2,, GHC  60.00 , GHC  80.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
USA,LEAPFROG 2 IN 1 LAP TOP FOR TODDLERS ,20.00,310.00,230.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
115523,LEARNING ALPHABET AND NUMBERS STICKERS,7.65,118.58,140.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
USA,LEGO MARVEL AND SANDMAH 45 PIECES ,10.00,155.00,105.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
81913,LIFETIME NAIL FILE SET,0.60,9.30,20.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
70073,LIFETIME NAILCLIPPER,0.75,11.63,13.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,LITTLE TIKES TWIST AND TURN,6.25,96.88,120.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,LOCK AND FRESH STORAGE CONTAINER ,,0.00,30.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,GIFT BOX CHINA MALL BRONZE 3,, GHC  55.00 , GHC  75.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
66751,LOOT BAGS WITH TWIST TIES, £ 0.75 , GHC  11.63 , GHC  25.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,LOST IN THE TOY MUSEUM,, GHC  25.00 , GHC  45.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,LUNCH BAG TAKORADI,,0.00,60.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,GIFT BOX CHINA MALL BRONZE 5,, GHC  30.00 , GHC  50.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,GIFT BOX CHINA MALL BRONZE 6,, GHC  28.00 , GHC  45.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,GIFT BOX CHINA MALL6,, GHC  28.00 , GHC  45.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,MAGNETIC SKETCH DRAWING BOARD,2.85,44.18,55.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,GIFT BOX SML,, GHC  7.00 , GHC  12.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
72148,MANICURE SET 10PCE,0.60,9.30,20.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,GIFT BOX UK LARGE 2PCS, £ 5.00 , GHC  77.50 , GHC  110.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,GIFT BOXES PINK ANIMAL PRINT (EXTRA SMALL), £ 1.25 , GHC  25.00 , GHC  45.00 ,1, GHC  45.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
,GIFT BOXES PINK ANIMAL PRINT (MEDIUM), £ 1.25 , GHC  25.00 , GHC  55.00 ,1, GHC  55.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
53514,MEGA BL0CKS IN A BOX HOME BARGAIN,10.00,155.00,140.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,MELAMINE TRAY LARGE EUGENE (43X30.5CM),1.70,26.35,35.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
116201,MELAMINE TRAY MEDIUM PARIS (38X27CM),1.35,20.93,30.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
116197,MELAMINE TRAY XL LARGE PARIS (48X34CM),2.00,31.00,38.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,GIFT BOXES PINK ANIMAL PRINT (SMALL), £ 1.25 , GHC  25.00 , GHC  50.00 ,1, GHC  50.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
,GIFT BOXES SO CALM (EXTRA SMALL), £ 1.20 , GHC  24.00 , GHC  45.00 ,1, GHC  45.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
,GIFT BOXES SO CALM (MEDIUM), £ 1.20 , GHC  24.00 , GHC  55.00 ,1, GHC  55.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
75130,MICROWAVE KIDS PEE,,0.00,60.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
